epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,1019.82,0.49834,0.33267,0.88293,0.8502,0.83003,0.87954,0.72887,0.63467,0.42092,0.93434,7.81172e-05,7.81172e-05,7.81172e-05
54,1038.53,0.48862,0.32732,0.86795,0.82985,0.85563,0.89272,0.73428,0.6296,0.41282,0.9388,7.65233e-05,7.65233e-05,7.65233e-05
55,1057.43,0.49126,0.33201,0.87147,0.85783,0.81582,0.89193,0.7342,0.62519,0.41624,0.93998,7.49294e-05,7.49294e-05,7.49294e-05
56,1076.32,0.48636,0.33082,0.87969,0.79295,0.87039,0.88554,0.73004,0.61984,0.41989,0.93275,7.33355e-05,7.33355e-05,7.33355e-05
57,1095.03,0.48958,0.3373,0.87575,0.82394,0.84402,0.88954,0.73457,0.63098,0.43034,0.93714,7.17416e-05,7.17416e-05,7.17416e-05
58,1114.04,0.49123,0.32221,0.87598,0.78818,0.86034,0.86694,0.71871,0.62165,0.42772,0.9454,7.01477e-05,7.01477e-05,7.01477e-05
59,1132.8,0.48874,0.33411,0.8817,0.82174,0.83713,0.87678,0.72483,0.6262,0.43761,0.94182,6.85538e-05,6.85538e-05,6.85538e-05
60,1151.61,0.47105,0.31579,0.86843,0.80759,0.86078,0.88587,0.73908,0.6279,0.42478,0.95239,6.69599e-05,6.69599e-05,6.69599e-05
61,1170.78,0.46584,0.30962,0.86787,0.80075,0.85834,0.88339,0.7321,0.61998,0.42462,0.94854,6.5366e-05,6.5366e-05,6.5366e-05
62,1189.85,0.4747,0.32305,0.87268,0.84447,0.83657,0.88982,0.73939,0.62619,0.42122,0.95654,6.37721e-05,6.37721e-05,6.37721e-05
63,1209.09,0.46945,0.30671,0.87256,0.84609,0.81963,0.8929,0.75161,0.62278,0.42009,0.9513,6.21782e-05,6.21782e-05,6.21782e-05
64,1228.25,0.46053,0.31083,0.86481,0.8229,0.84572,0.88585,0.73841,0.62712,0.42667,0.93284,6.05843e-05,6.05843e-05,6.05843e-05
65,1247,0.45669,0.29266,0.86415,0.8282,0.84707,0.87466,0.73018,0.6196,0.43145,0.93703,5.89904e-05,5.89904e-05,5.89904e-05
66,1265.64,0.45954,0.30538,0.86638,0.86395,0.82267,0.87408,0.7269,0.61919,0.41637,0.93344,5.73965e-05,5.73965e-05,5.73965e-05
67,1284.66,0.45604,0.30099,0.8676,0.8381,0.84482,0.87335,0.73297,0.62322,0.42278,0.94028,5.58026e-05,5.58026e-05,5.58026e-05
68,1303.66,0.44775,0.29239,0.8713,0.81131,0.85205,0.88071,0.73655,0.62934,0.42381,0.95426,5.42087e-05,5.42087e-05,5.42087e-05
69,1322.98,0.44632,0.28822,0.85966,0.82075,0.86483,0.88758,0.74739,0.61336,0.41145,0.9463,5.26148e-05,5.26148e-05,5.26148e-05
70,1342.23,0.44694,0.2929,0.85984,0.7776,0.87564,0.8796,0.73773,0.62724,0.41772,0.95067,5.10209e-05,5.10209e-05,5.10209e-05
71,1361.54,0.44616,0.29636,0.86459,0.79476,0.86872,0.87906,0.73785,0.62768,0.41673,0.94896,4.9427e-05,4.9427e-05,4.9427e-05
72,1380.78,0.43456,0.27469,0.85746,0.82988,0.84875,0.89206,0.74645,0.62016,0.41505,0.93727,4.78331e-05,4.78331e-05,4.78331e-05
